onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.994277	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
16.544289	2	cue_dict_pmod	n/a	15	-6	n/a	n/a
28.093655	2	cue_ug-prop_pmod	n/a	21	2	n/a	n/a
43.144386	2	cue_ug-prop_pmod	n/a	17	-2	n/a	n/a
51.194218	2	cue_dict_pmod	n/a	23	2	n/a	n/a
59.244114	2	cue_ug-prop_pmod	n/a	21	2	n/a	n/a
67.294110	2	cue_dict_pmod	n/a	21	0	n/a	n/a
79.344030	2	cue_ug-prop_pmod	n/a	25	6	n/a	n/a
89.394020	2	cue_dict_pmod	n/a	23	2	n/a	n/a
98.944130	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
108.494090	2	cue_dict_pmod	n/a	21	0	n/a	n/a
116.543630	2	cue_ug-prop_pmod	n/a	19	0	n/a	n/a
128.093900	2	cue_dict_pmod	n/a	15	-6	n/a	n/a
139.143770	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
154.193330	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
162.243730	2	cue_dict_pmod	n/a	25	4	n/a	n/a
177.293670	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
186.843600	2	cue_ug-prop_pmod	n/a	21	2	n/a	n/a
196.893260	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
207.943150	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
217.493380	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
225.543120	2	cue_ug-prop_pmod	n/a	17	-2	n/a	n/a
233.593190	2	cue_ug-prop_pmod	n/a	19	0	n/a	n/a
246.643110	2	cue_ug-prop_pmod	n/a	15	-4	n/a	n/a
257.693050	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
269.242980	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
284.292970	2	cue_dict_pmod	n/a	25	4	n/a	n/a
292.342960	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
304.393100	2	cue_ug-prop_pmod	n/a	25	6	n/a	n/a
312.443020	2	cue_dict_pmod	n/a	25	4	n/a	n/a
323.492860	2	cue_ug-prop_pmod	n/a	15	-4	n/a	n/a
333.542880	2	cue_ug-prop_pmod	n/a	17	-2	n/a	n/a
343.592860	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
353.642880	2	cue_dict_pmod	n/a	21	0	n/a	n/a
367.192840	2	cue_dict_pmod	n/a	23	2	n/a	n/a
376.742800	2	cue_dict_pmod	n/a	19	-2	n/a	n/a
9.027078	1.950149	dec_dg-prop_pmod_choice	1.950149	21	n/a	17	-1.564469e-01
20.576931	1.100024	dec_ug-prop_pmod_choice	1.100024	15	n/a	12	-5.455210e-02
30.627007	1.583195	dec_ug-resp_pmod_accept	1.583195	21	n/a	12	2.091317e-01
30.627007	1.583195	dec_ug-resp_pmod_option_presented	1.583195	21	n/a	12	2.091317e-01
30.627007	1.583195	dec_ug-resp_pmod_choice	1.583195	21	n/a	12	2.091317e-01
45.676930	1.033233	dec_ug-resp_pmod_accept	1.033233	17	n/a	9	2.511485e-01
45.676930	1.033233	dec_ug-resp_pmod_option_presented	1.033233	17	n/a	9	2.511485e-01
45.676930	1.033233	dec_ug-resp_pmod_choice	1.033233	17	n/a	9	2.511485e-01
53.726852	1.850239	dec_ug-prop_pmod_choice	1.850239	23	n/a	13	1.802305e-01
61.776596	1.983443	dec_ug-resp_pmod_accept	1.983443	21	n/a	14	1.138936e-01
61.776596	1.983443	dec_ug-resp_pmod_option_presented	1.983443	21	n/a	14	1.138936e-01
61.776596	1.983443	dec_ug-resp_pmod_choice	1.983443	21	n/a	14	1.138936e-01
69.826840	0.850367	dec_ug-prop_pmod_choice	0.850367	21	n/a	14	7.878124e-02
81.875800	1.217118	dec_ug-resp_pmod_reject	1.217118	25	n/a	0	-2.194398e-01
81.875800	1.217118	dec_ug-resp_pmod_option_presented	1.217118	25	n/a	0	-1.394398e-01
81.875800	1.217118	dec_ug-resp_pmod_choice	1.217118	25	n/a	0	-2.194398e-01
93.426770	2.616037	dec_ug-prop_pmod_choice	2.616037	23	n/a	13	1.802305e-01
102.976790	2.633176	dec_dg-prop_pmod_choice	2.633176	15	n/a	8	1.197436e-01
